epoch,loss,soft_dice_batch_global_tf,val_loss,val_soft_dice_batch_global_tf
0,0.628734290599823,0.5771117210388184,0.5417596101760864,0.5917571783065796
1,0.4770217835903168,0.6271724700927734,0.4703808128833771,0.6320508718490601
2,0.4397781491279602,0.6651889681816101,0.4314817190170288,0.626926064491272
3,0.4297817647457123,0.6787421703338623,0.4364023804664612,0.6586511135101318
4,0.4151504635810852,0.6981993317604065,0.7712383270263672,0.380506694316864
5,0.38662201166152954,0.707958459854126,0.4448823928833008,0.6347861886024475
6,0.37035849690437317,0.708736002445221,0.36633992195129395,0.6950159668922424
7,0.36217203736305237,0.7242628931999207,0.44752052426338196,0.641661524772644
8,0.36520400643348694,0.7150185704231262,0.43727123737335205,0.6320779323577881
9,0.3747289776802063,0.701474130153656,0.4036339223384857,0.6205795407295227
10,0.3575513958930969,0.7240786552429199,0.32385367155075073,0.7423420548439026
11,0.33799004554748535,0.7355372309684753,0.3484979569911957,0.6767303347587585
12,0.33437833189964294,0.744808554649353,0.2829754650592804,0.7642334699630737
13,0.32725977897644043,0.7481637597084045,0.5857555270195007,0.43771031498908997
14,0.3155435621738434,0.7563850283622742,0.33896756172180176,0.6806694269180298
15,0.33131951093673706,0.7467899918556213,0.5032922029495239,0.5918058156967163
16,0.3171018362045288,0.7618306875228882,0.3618125021457672,0.7013999819755554
17,0.3151989281177521,0.7487965822219849,0.42420196533203125,0.6599887013435364
18,0.30798742175102234,0.7657031416893005,0.2770657539367676,0.7678845524787903
19,0.31250134110450745,0.7561836242675781,0.26815205812454224,0.7813962697982788
20,0.30926188826560974,0.7614458799362183,0.39395835995674133,0.6468521952629089
21,0.301929235458374,0.7735942006111145,0.2631220519542694,0.788079023361206
22,0.2963295578956604,0.7725034356117249,0.2609250247478485,0.7824648022651672
23,0.2993629276752472,0.7732914090156555,0.3379710614681244,0.7259927988052368
24,0.31875061988830566,0.7549681067466736,0.3071264624595642,0.7229047417640686
25,0.2952621877193451,0.7726884484291077,0.36636897921562195,0.6939594149589539
26,0.29149508476257324,0.773672878742218,0.3258306384086609,0.7204951047897339
27,0.307737797498703,0.7613161206245422,0.3072189390659332,0.7505340576171875
28,0.2885933220386505,0.7811989188194275,0.2857873737812042,0.7649855017662048
29,0.2877824604511261,0.7758080959320068,0.2879323363304138,0.7535471320152283
30,0.28863003849983215,0.7807874083518982,0.37120264768600464,0.685110867023468
